Time,ID,Bus,DataLen,INV_Fast_Torque_Command,INV_Fast_Torque_Feedback,INV_Fast_Motor_Speed,INV_Fast_DC_Bus_Voltage,
946702807.501000,0x000005D0,0,8,0torque:N.m,0.8torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.504000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.507000,0x000005D0,0,8,0torque:N.m,0.1torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.510000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.513000,0x000005D0,0,8,0torque:N.m,0.2torque:N.m,0angular_speed:rpm,239.6voltage:V,
946702807.516000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.519000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.522000,0x000005D0,0,8,0torque:N.m,0.9torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.525000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.528000,0x000005D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.531000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.534000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.537000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.540000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.543000,0x000005D0,0,8,0torque:N.m,-0.3torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.546000,0x000005D0,0,8,0torque:N.m,0.8torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.549000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.552000,0x000005D0,0,8,0torque:N.m,1.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.555000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.558000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.561000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.564000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.567000,0x000005D0,0,8,0torque:N.m,-0.2torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.570000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.573000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.576000,0x000005D0,0,8,0torque:N.m,1torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.579000,0x000005D0,0,8,0torque:N.m,-0.6torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.582000,0x000005D0,0,8,0torque:N.m,0.8torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.585000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.588000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.591000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.594000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.597000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,239.9voltage:V,
946702807.600000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.603000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.606000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.609000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.612000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.615000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.618000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.621000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.624000,0x000005D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.627000,0x000005D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.630000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.633000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.636000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.639000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,239.6voltage:V,
946702807.642000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.645000,0x000005D0,0,8,0torque:N.m,1.1torque:N.m,0angular_speed:rpm,240.6voltage:V,
946702807.648000,0x000005D0,0,8,0torque:N.m,0.1torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.651000,0x000005D0,0,8,0torque:N.m,0torque:N.m,0angular_speed:rpm,240voltage:V,
946702807.654000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.657000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.660000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.663000,0x000005D0,0,8,0torque:N.m,-0.8torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.666000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,239.5voltage:V,
946702807.669000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.672000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.675000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.678000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.681000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.684000,0x000005D0,0,8,0torque:N.m,0.8torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.687000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.690000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.4voltage:V,
946702807.693000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.1voltage:V,
946702807.696000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.699000,0x000005D0,0,8,0torque:N.m,0.1torque:N.m,0angular_speed:rpm,239.9voltage:V,
946702807.702000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.705000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.708000,0x000005D0,0,8,0torque:N.m,0.7torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.711000,0x000005D0,0,8,0torque:N.m,0.4torque:N.m,0angular_speed:rpm,239.5voltage:V,
946702807.714000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.717000,0x000005D0,0,8,0torque:N.m,0.6torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.720000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.5voltage:V,
946702807.723000,0x000005D0,0,8,0torque:N.m,-0.8torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.726000,0x000005D0,0,8,0torque:N.m,0.5torque:N.m,0angular_speed:rpm,240.3voltage:V,
946702807.729000,0x000005D0,0,8,0torque:N.m,0.3torque:N.m,0angular_speed:rpm,240.2voltage:V,
946702807.732000,0x000005D0,0,8,0torque:N.m,-0.7torque:N.m,0angular_speed:rpm,239.7voltage:V,
